series_key,brand,series,body_type,energy_type,vehicle_categories,energy_subtypes,manufacturer_attributes,taxonomy_source,taxonomy_confidence
yeti,斯柯达,Yeti,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
yeti进口,斯柯达,Yeti(进口),SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
young光小新,电动屋,YOUNG光小新,,新能源,,新能源,,internal_90d,0.88
yukon育空,GMC,YUKON育空,,燃油车,,燃油,,internal_90d,0.88
zeekr001,极氪,ZEEKR 001,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
zeekr001fr,极氪,ZEEKR 001 FR,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
zeekr007,极氪,ZEEKR 007,轿车,新能源,轿车,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
zeekr007gt,极氪,ZEEKR 007GT,轿车,新能源,轿车,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
zeekr009,极氪,ZEEKR 009,MPV,新能源,MPV,新能源,,heuristic_body+internal_90d,0.88
zeekr7x,极氪,ZEEKR 7X,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
zeekr8x,极氪,ZEEKR 8X,,新能源,,新能源,,internal_90d,0.88
zeekr9x,极氪,ZEEKR 9X,,新能源,,新能源,,internal_90d,0.88
zeekrmix,极氪,ZEEKR MIX,,新能源,,新能源,,internal_90d,0.88
