unique_product_id,city,brand,series,energy_type,body_type,price_band,market_state,market_match_scope,dsi_label,dsi_model_count,dsi_consistency,qualification_reason
24226409,上海,哈弗,哈弗大狗,燃油车,SUV,5-10万,常规行情,national_series_from_city_table,供需平衡,46,0.5217391304347826,常规行情 + DSI供需平衡
24315621,上海,哈弗,哈弗大狗,燃油车,SUV,5-10万,常规行情,national_series_from_city_table,供需平衡,46,0.5217391304347826,常规行情 + DSI供需平衡
24317447,上海,哈弗,哈弗大狗,燃油车,SUV,5-10万,常规行情,national_series_from_city_table,供需平衡,46,0.5217391304347826,常规行情 + DSI供需平衡
24399726,上海,哈弗,哈弗大狗,燃油车,SUV,5-10万,常规行情,national_series_from_city_table,供需平衡,46,0.5217391304347826,常规行情 + DSI供需平衡
22982874,上海,哈弗,哈弗大狗PLUS,燃油车,SUV,5-10万,常规行情,city_exact,供不应求,7,0.5714285714285714,常规行情 + DSI供不应求
23415728,上海,哈弗,哈弗大狗PLUS,燃油车,SUV,5-10万,常规行情,city_exact,供不应求,7,0.5714285714285714,常规行情 + DSI供不应求
23567105,上海,哈弗,哈弗猛龙PHEV,新能源,SUV,10-15万,常规行情,national_series_from_model_table,供不应求,19,0.7368421052631579,常规行情 + DSI供不应求
23835513,上海,哈弗,哈弗猛龙PHEV,新能源,SUV,10-15万,常规行情,national_series_from_model_table,供不应求,19,0.7368421052631579,常规行情 + DSI供不应求
24182658,上海,哪吒汽车,哪吒L,新能源,SUV,5-10万,常规行情,national_series_from_city_table,供不应求,2,1,常规行情 + DSI供不应求
23650399,上海,坦克,坦克300,燃油车,SUV,10-15万,上涨行情,national_series_from_city_table,供不应求,35,0.4,上涨行情 + DSI供不应求
24059277,上海,坦克,坦克300,燃油车,SUV,10-15万,上涨行情,national_series_from_city_table,供不应求,35,0.4,上涨行情 + DSI供不应求
24112433,上海,坦克,坦克300,燃油车,SUV,5-10万,上涨行情,national_series_from_city_table,供不应求,35,0.4,上涨行情 + DSI供不应求
24182084,上海,坦克,坦克300,燃油车,SUV,10-15万,上涨行情,national_series_from_city_table,供不应求,35,0.4,上涨行情 + DSI供不应求
24209050,上海,坦克,坦克300,燃油车,SUV,10-15万,上涨行情,national_series_from_city_table,供不应求,35,0.4,上涨行情 + DSI供不应求
24248621,上海,坦克,坦克300,燃油车,SUV,5-10万,上涨行情,national_series_from_city_table,供不应求,35,0.4,上涨行情 + DSI供不应求
24280382,上海,坦克,坦克300,燃油车,SUV,5-10万,上涨行情,national_series_from_city_table,供不应求,35,0.4,上涨行情 + DSI供不应求
23481047,上海,埃安,AION S,新能源,轿车,5-10万,结构性行情,national_series_from_model_table,供不应求,91,0.5384615384615384,结构性行情 + DSI供不应求
23895161,上海,埃安,AION S,新能源,轿车,5-10万,结构性行情,national_series_from_model_table,供不应求,91,0.5384615384615384,结构性行情 + DSI供不应求
23734201,上海,埃安,AION Y,新能源,SUV,5-10万,常规行情,city_exact,供不应求,97,0.4536082474226804,常规行情 + DSI供不应求
23789536,上海,埃安,AION Y,新能源,SUV,5-10万,常规行情,city_exact,供不应求,97,0.4536082474226804,常规行情 + DSI供不应求
23922149,上海,埃安,AION Y,新能源,SUV,5-10万,常规行情,city_exact,供不应求,97,0.4536082474226804,常规行情 + DSI供不应求
24181408,上海,埃安,AION Y,新能源,SUV,5-10万,常规行情,city_exact,供不应求,97,0.4536082474226804,常规行情 + DSI供不应求
24333757,上海,埃安,AION Y,新能源,SUV,5-10万,常规行情,city_exact,供不应求,97,0.4536082474226804,常规行情 + DSI供不应求
23149503,上海,大众,ID.4 CROZZ,新能源,SUV,5-10万,常规行情,city_exact,供需平衡,22,0.4090909090909091,常规行情 + DSI供需平衡
24262181,上海,大众,ID.4 CROZZ,新能源,SUV,5-10万,常规行情,city_exact,供需平衡,22,0.4090909090909091,常规行情 + DSI供需平衡
24099911,上海,大众,ID.4 X,新能源,SUV,5-10万,常规行情,national_series_from_city_table,供不应求,23,0.4782608695652174,常规行情 + DSI供不应求
24158560,上海,大众,ID.4 X,新能源,SUV,5-10万,常规行情,national_series_from_city_table,供不应求,23,0.4782608695652174,常规行情 + DSI供不应求
23415651,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
23520784,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
23543473,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
23561987,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
23853686,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
23934271,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
24148890,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
24169415,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
24190802,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
24280559,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
24305290,上海,大众,Polo,燃油车,轿车,0-5万,结构性行情,city_exact,供需平衡,77,0.45454545454545453,结构性行情 + DSI供需平衡
23228833,上海,大众,途安L,燃油车,MPV,5-10万,结构性行情,city_exact,供不应求,28,0.39285714285714285,结构性行情 + DSI供不应求
23932310,上海,大众,途安L,燃油车,MPV,0-5万,结构性行情,city_exact,供不应求,28,0.39285714285714285,结构性行情 + DSI供不应求
23934032,上海,大众,途安L,燃油车,MPV,0-5万,结构性行情,city_exact,供不应求,28,0.39285714285714285,结构性行情 + DSI供不应求
23265923,上海,大众,高尔夫,燃油车,轿车,5-10万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
23370228,上海,大众,高尔夫,燃油车,轿车,5-10万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
23385080,上海,大众,高尔夫,燃油车,轿车,5-10万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
23396150,上海,大众,高尔夫,燃油车,轿车,0-5万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
23439487,上海,大众,高尔夫,燃油车,轿车,10-15万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
23465381,上海,大众,高尔夫,燃油车,轿车,0-5万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
23491783,上海,大众,高尔夫,燃油车,轿车,5-10万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
23657218,上海,大众,高尔夫,燃油车,轿车,0-5万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
23702580,上海,大众,高尔夫,燃油车,轿车,5-10万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
23839385,上海,大众,高尔夫,燃油车,轿车,0-5万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
24044284,上海,大众,高尔夫,燃油车,轿车,5-10万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
24046584,上海,大众,高尔夫,燃油车,轿车,0-5万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
24234316,上海,大众,高尔夫,燃油车,轿车,5-10万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
24271275,上海,大众,高尔夫,燃油车,轿车,0-5万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
24289938,上海,大众,高尔夫,燃油车,轿车,5-10万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
24319321,上海,大众,高尔夫,燃油车,轿车,5-10万,流动行情,city_exact,供需平衡,126,0.36507936507936506,流动行情 + DSI供需平衡
24310000,上海,奇瑞QQ,冰淇淋,新能源,轿车,0-5万,常规行情,national_series_from_city_table,供不应求,36,0.5,常规行情 + DSI供不应求
23622858,上海,奇瑞QQ,小蚂蚁,新能源,轿车,0-5万,结构性行情,city_exact,供不应求,265,0.44150943396226416,结构性行情 + DSI供不应求
23707385,上海,奇瑞QQ,小蚂蚁,新能源,轿车,0-5万,结构性行情,city_exact,供不应求,265,0.44150943396226416,结构性行情 + DSI供不应求
23981348,上海,奔腾,奔腾小马,新能源,轿车,,常规行情,national_series_from_city_table,供不应求,15,0.6666666666666666,常规行情 + DSI供不应求
23994139,上海,奔腾,奔腾小马,新能源,轿车,0-5万,常规行情,national_series_from_city_table,供不应求,15,0.6666666666666666,常规行情 + DSI供不应求
24265076,上海,奔腾,奔腾小马,新能源,轿车,0-5万,常规行情,national_series_from_city_table,供不应求,15,0.6666666666666666,常规行情 + DSI供不应求
24310756,上海,奔腾,奔腾小马,新能源,轿车,0-5万,常规行情,national_series_from_city_table,供不应求,15,0.6666666666666666,常规行情 + DSI供不应求
23471540,上海,奔驰,奔驰CLA(进口),燃油车,轿车,5-10万,常规行情,city_exact,供需平衡,55,0.36363636363636365,常规行情 + DSI供需平衡
22980383,上海,奥迪,奥迪A4L,燃油车,轿车,10-15万,结构性行情,city_exact,供需平衡,116,0.46551724137931033,结构性行情 + DSI供需平衡
23415183,上海,奥迪,奥迪A4L,燃油车,轿车,10-15万,结构性行情,city_exact,供需平衡,116,0.46551724137931033,结构性行情 + DSI供需平衡
